,max_diff,r2,pearsonr_stats,pearsonr_p,avg_x,avg_y,dataset_type,loss_type,sample_size,metrics_type
fpq-harmless-train_final_avg_loss,17.041666666666664,0.6866449831553536,0.828640442625964,7.945714043613207e-10,0.19119870473155764,48.189166666666665,Initial EM,train,24,harmless
fpq-aligned-train_final_avg_loss,16.05583333333334,0.6957160747659719,0.8340959625642432,4.864123191127848e-10,0.19119870473155764,38.3175,Initial EM,train,24,aligned
fpq-harmless-eval_final_avg_loss,18.625000000000007,0.6789743836017689,0.8239990191752472,1.1903645340351745e-09,0.2815167197008272,48.189166666666665,Initial EM,eval,24,harmless
fpq-aligned-eval_final_avg_loss,18.82333333333333,0.6874620206260527,0.8291332948483331,7.606527022476795e-10,0.2815167197008272,38.3175,Initial EM,eval,24,aligned
hbp-harmless-train_final_avg_loss,2.1436699569514452,0.5558206087292996,0.7455337743719594,4.214455794704721e-07,0.1914877101481337,21.73236912450117,Harmfulness,train,320,harmless
hbp-aligned-train_final_avg_loss,1.4861089050142802,0.7119153003570465,0.843750733544598,3.6901950570015266e-10,0.1914877101481337,18.40363778778569,Harmfulness,train,320,aligned
hbp-harmless-eval_final_avg_loss,2.2797153291892336,0.5816198449502127,0.7626400494009038,1.584960114057877e-07,0.28151143624439456,21.73236912450117,Harmfulness,eval,320,harmless
hbp-aligned-eval_final_avg_loss,1.612812361284167,0.7432774489307001,0.8621354005785287,5.721500170598608e-11,0.28151143624439456,18.40363778778569,Harmfulness,eval,320,aligned
hbp-harmless100-train_final_avg_loss,6.047314161367996,0.15556891377182003,0.3944222531397285,0.02098228080753047,0.1914877101481337,22.1630758344085,Harmfulness,train,100,harmless
hbp-aligned100-train_final_avg_loss,5.025187020867021,0.31434672638111233,0.5606663235660871,0.0005628518467980585,0.1914877101481337,18.2530711655155,Harmfulness,train,100,aligned
hbp-harmless100-eval_final_avg_loss,6.047314161367996,0.15856899680964925,0.3982072284748851,0.019675709695978788,0.28151143624439456,22.1630758344085,Harmfulness,eval,100,harmless
hbp-aligned100-eval_final_avg_loss,5.764608202014015,0.3152928292430579,0.5615094204401723,0.0005498477316921173,0.28151143624439456,18.2530711655155,Harmfulness,eval,100,aligned
hbp-harmless50-train_final_avg_loss,9.815725998678001,0.03260446581534956,0.18056706736099354,0.3068156306431183,0.1914877101481337,22.344662017376002,Harmfulness,train,50,harmless
hbp-aligned50-train_final_avg_loss,9.995930368791997,0.07198373921348965,0.2682978554023301,0.12498055421093388,0.1914877101481337,18.715416171655,Harmfulness,train,50,aligned
hbp-harmless50-eval_final_avg_loss,9.815725998678001,0.03332123564578046,0.18254105194662512,0.30146850649893764,0.28151143624439456,22.344662017376002,Harmfulness,eval,50,harmless
hbp-aligned50-eval_final_avg_loss,9.995930368791997,0.07370571209503606,0.2714879593923753,0.1203860395596022,0.28151143624439456,18.715416171655,Harmfulness,eval,50,aligned
hbp-harmless24-train_final_avg_loss,18.140130985324998,0.1592741189103977,0.39909161718883257,0.019380373230403508,0.1914877101481337,20.740726643222914,Harmfulness,train,24,harmless
hbp-aligned24-train_final_avg_loss,17.683473254395835,0.21356209678855712,0.4621277927030109,0.005931611619183664,0.1914877101481337,17.049489953089584,Harmfulness,train,24,aligned
hbp-harmless24-eval_final_avg_loss,14.175482569016673,0.18107344990451302,0.42552726105916294,0.012108442651584932,0.28151143624439456,20.740726643222914,Harmfulness,eval,24,harmless
hbp-aligned24-eval_final_avg_loss,12.927569994562502,0.24691353548571301,0.496903949959862,0.00279437606779311,0.28151143624439456,17.049489953089584,Harmfulness,eval,24,aligned
general200-harmless-train_final_avg_loss,4.051299999999998,0.25614988816024875,0.5061125251959769,0.0016367697476523248,0.1914877101481337,67.553,General,train,200,harmless
general200-aligned-train_final_avg_loss,4.131128032803282,0.25628539302254155,0.5062463758117597,0.0016313467281709121,0.1914877101481337,34.16245,General,train,200,aligned
general200-harmless-eval_final_avg_loss,4.374757915791577,0.23103896848283892,0.48066513133660843,0.003004384983290747,0.28151143624439456,67.553,General,eval,200,harmless
general200-aligned-eval_final_avg_loss,4.7089708970897135,0.2404444173071155,0.49035132028690975,0.0023972548074683176,0.28151143624439456,34.16245,General,eval,200,aligned
general200-harmless100-train_final_avg_loss,13.007799999999982,0.06057361523730129,0.24611707628139348,0.1479103207617179,0.1914877101481337,67.41029999999998,General,train,100,harmless
general200-aligned100-train_final_avg_loss,6.749330612245004,0.15874845470630766,0.39843249705101585,0.0160914684343446,0.1914877101481337,34.42650000000002,General,train,100,aligned
general200-harmless100-eval_final_avg_loss,13.007799999999982,0.05421283355877212,0.23283649533260922,0.17175585317775274,0.28151143624439456,67.41029999999998,General,eval,100,harmless
general200-aligned100-eval_final_avg_loss,6.749330612245004,0.15332743380686376,0.39157047106091136,0.018192098154180505,0.28151143624439456,34.42650000000002,General,eval,100,aligned
general200-harmless50-train_final_avg_loss,13.983200000000004,0.011519698530780201,-0.1073298585239923,0.533247760999334,0.1914877101481337,67.34020000000001,General,train,50,harmless
general200-aligned50-train_final_avg_loss,7.975600000000007,0.048404394014564284,0.22000998617009243,0.19728039894839264,0.1914877101481337,34.8042,General,train,50,aligned
general200-harmless50-eval_final_avg_loss,13.983200000000004,0.016507818209311676,-0.12848275452103167,0.45518806967885955,0.28151143624439456,67.34020000000001,General,eval,50,harmless
general200-aligned50-eval_final_avg_loss,7.975600000000007,0.034908651233150144,0.1868385699826193,0.27522377862916597,0.28151143624439456,34.8042,General,eval,50,aligned
general200-harmless24-train_final_avg_loss,18.02833333333335,0.07043415321870883,0.2653943353176717,0.11773057007928989,0.1914877101481337,66.45583333333333,General,train,24,harmless
general200-aligned24-train_final_avg_loss,11.564166666666665,0.12981314816198453,0.36029591749280815,0.03088382576309335,0.1914877101481337,33.959999999999994,General,train,24,aligned
general200-harmless24-eval_final_avg_loss,18.02833333333335,0.052771274974666375,0.22971999254454628,0.17772846571719392,0.28151143624439456,66.45583333333333,General,eval,24,harmless
general200-aligned24-eval_final_avg_loss,11.564166666666665,0.12250825612526273,0.3500117942659403,0.03637926763946159,0.28151143624439456,33.959999999999994,General,eval,24,aligned
